dataset,topology_type,timestep,metagate_selector,metagate_confidence,metagate_mlu,oracle_selector,oracle_mlu,bn_mlu,topk_mlu,sens_mlu,gnn_mlu,correct,t_bn_ms,t_topk_ms,t_sens_ms,t_gnn_ms,t_features_ms,t_mlp_ms,t_lp_ms,t_decision_ms,t_total_ms
abilene,known,486,topk,0.35777583718299866,0.06273314009531676,sensitivity,0.0627331399345516,0.0627331400034155,0.0627331400953167,0.0627331399345516,0.062733140163085,0,0.5320410000422271,0.020583999685186427,0.6660839999312884,1.9556249999368447,0.7993330000317656,0.16333300027326914,24.19979099977354,4.136999999900581,29.64091699959681
abilene,known,487,sensitivity,0.3429126739501953,0.06101149192867764,sensitivity,0.0610114919286776,0.0610114920003479,0.0610114919551346,0.0610114919286776,0.0610114919821033,1,0.5342920003386098,0.01966699983313447,0.6779579998692498,2.0114589997319854,0.7709589999649324,0.14683399967907462,24.340250000022934,4.1611689994169865,29.639584000506147
abilene,known,488,topk,0.33114826679229736,0.06173350146173494,bottleneck,0.0617335013117505,0.0617335013117505,0.0617335014617349,0.0617335014095729,0.0617335013181355,0,0.5031250002502929,0.01887500002339948,0.6415419993572868,2.2145419998196303,0.7682920004299376,0.1515419999122969,24.852499999724387,4.297917999792844,30.32533300029172
abilene,known,489,sensitivity,0.3526158332824707,0.06071090241903546,bottleneck,0.060710902229878,0.060710902229878,0.0607109024500088,0.0607109024190354,0.0607109022339809,0,0.5192079997868859,0.02112499987561023,0.6819170002927422,2.0917500005452894,0.9106659999815747,0.2088330002152361,24.68579200012755,4.4334990006973385,30.383667000023706
abilene,known,490,sensitivity,0.3335997760295868,0.061236509776623864,bottleneck,0.0612365097529455,0.0612365097529455,0.0612365098410755,0.0612365097766238,0.0612365097759528,0,0.5628339995382703,0.024541999664506875,0.7151669997256249,2.373375000388478,0.7629580004504533,0.15583299955324037,24.8622079998313,4.594708999320574,30.692459000420058
abilene,known,491,topk,0.3553045392036438,0.06146360647023275,sensitivity,0.061463606334594,0.0614636064494118,0.0614636064702327,0.061463606334594,0.061463606372846,0,0.5119580000609858,0.020292000044719316,0.6963750001887092,2.0312920005380874,0.9667919994171825,0.16154199965967564,24.852333999660914,4.38825099990936,30.45075000045472
abilene,known,492,sensitivity,0.3677264451980591,0.057685846096307954,bottleneck,0.0576858460963079,0.0576858460963079,0.0579360824239475,0.0576858460963079,0.0576858460963079,0,0.5212500000197906,0.02249999943160219,0.6712909998896066,1.9579999998313724,0.772958000197832,0.13862500054528937,24.844374999702268,4.084623999915493,30.11616599997069
abilene,known,493,topk,0.31275829672813416,0.05705577398104721,sensitivity,0.057055773949314,0.0570557739500064,0.0570557739810472,0.057055773949314,0.057055773949314,0,0.5063329999757116,0.018834000002243556,0.6595000004381291,2.128082999661274,0.8045829999900889,0.14570799976354465,24.02758299922425,4.2630409998309915,29.438624999784224
abilene,known,494,sensitivity,0.3535091280937195,0.05992059411160447,topk,0.059920594018108,0.0599205941021146,0.059920594018108,0.0599205941116044,0.0599205940331817,0,0.5660419992636889,0.02074999974865932,0.646292000055837,2.0040419994984404,0.9338749996459228,0.16449999930046033,24.804792000395537,4.335500997513009,30.474166999738372
abilene,known,495,sensitivity,0.3315146267414093,0.05675113812758602,sensitivity,0.056751138127586,0.0567511381631415,0.0567511382291758,0.056751138127586,0.0567511381794645,1,0.5614579995381064,0.024208000468206592,0.668749999931606,2.2427920002883184,0.7629580004504533,0.14199999986885814,24.175709000701318,4.402166000545549,29.790708999826165
